map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
Berlin_1_256,1,1,CBS,4,0.0287631,401,1,1
Berlin_1_256,1,1,CBS,8,0.173293,872,1,1
Berlin_1_256,1,1,CBS,12,2.24721,1556,1,1
Berlin_1_256,1,1,CBS,16,13.0052,2182,4,7
Berlin_1_256,1,1,CBS,20,13.0361,2987,4,7
Berlin_1_256,1,1,CBS,24,14.1408,3668,4,7
Berlin_1_256,1,1,CBS,28,14.1462,4641,4,7
Berlin_1_256,1,1,CBS,32,16.7433,5279,4,7
Berlin_1_256,1,1,CBS,36,17.6316,5979,4,7
Berlin_1_256,1,1,CBS,40,30.1826,6636,13,25
Boston_0_256,1,9,CBS,4,12.7138,1129,1,1
Boston_0_256,1,9,CBS,8,13.7118,1687,1,1
Boston_0_256,1,9,CBS,12,67.4377,2654,3,5
Boston_0_256,1,9,CBS,16,67.0534,3195,3,5
Boston_0_256,1,9,CBS,20,113.786,3768,10,19
Boston_0_256,1,9,CBS,24,171.741,4384,16,31
Boston_0_256,1,9,CBS,28,170.276,4835,16,31
Boston_0_256,1,9,CBS,32,176.159,5793,24,47
Boston_0_256,1,9,CBS,36,179.083,6510,24,47
Paris_1_256,1,17,CBS,4,3.22692,812,1,1
Paris_1_256,1,17,CBS,8,16.6198,1757,1,1
Paris_1_256,1,17,CBS,12,17.5567,2299,1,1
Paris_1_256,1,17,CBS,16,18.2653,3027,1,1
Paris_1_256,1,17,CBS,20,18.3546,3687,1,1
Paris_1_256,1,17,CBS,24,19.41,4391,2,3
Paris_1_256,1,17,CBS,28,20.9203,5112,4,7
Paris_1_256,1,17,CBS,32,37.5498,6402,4,7
Paris_1_256,1,17,CBS,36,39.8047,7151,4,7
Paris_1_256,1,17,CBS,40,66.1147,7809,8,15
Paris_1_256,1,17,CBS,44,82.8139,8749,14,27
Paris_1_256,1,17,CBS,48,114.644,9516,29,57
Paris_1_256,1,17,CBS,52,130.014,10019,34,67
Paris_1_256,1,17,CBS,56,206.574,11043,260,519
Berlin_1_256,2,1,CBS,4,0.211878,401,1,1
Berlin_1_256,2,1,CBS,8,1.49226,872,1,1
Berlin_1_256,2,1,CBS,12,20.8617,1556,1,1
Berlin_1_256,2,1,CBS,16,121.024,2182,4,7
Berlin_1_256,2,1,CBS,20,119.767,2987,4,7
Berlin_1_256,2,1,CBS,24,129.754,3668,4,7
Berlin_1_256,2,1,CBS,28,129.857,4641,4,7
Berlin_1_256,2,1,CBS,32,153.154,5279,4,7
Berlin_1_256,2,1,CBS,36,161.272,5979,4,7
Berlin_1_256,2,1,CBS,40,272.236,6636,13,25
Boston_0_256,2,9,CBS,4,115.752,1129,1,1
Boston_0_256,2,9,CBS,8,124.359,1687,1,1
Boston_0_256,2,9,CBS,12,743.169,2654,4,7
Boston_0_256,2,9,CBS,16,745.356,3195,4,7
Paris_1_256,2,17,CBS,4,29.1907,812,1,1
Paris_1_256,2,17,CBS,8,150.264,1757,1,1
Paris_1_256,2,17,CBS,12,159.229,2299,1,1
Paris_1_256,2,17,CBS,16,165.304,3027,1,1
Paris_1_256,2,17,CBS,20,164.705,3687,1,1
Paris_1_256,2,17,CBS,24,174.163,4391,2,3
Paris_1_256,2,17,CBS,28,188.099,5112,4,7
Paris_1_256,2,17,CBS,32,340.505,6402,4,7
Paris_1_256,2,17,CBS,36,360.972,7151,4,7
Paris_1_256,2,17,CBS,40,611.181,7809,10,19
Berlin_1_256,4,1,CBS,4,1.813,401,1,1
Berlin_1_256,4,1,CBS,8,13.6551,872,1,1
Berlin_1_256,4,1,CBS,12,197.752,1556,1,1
Paris_1_256,4,17,CBS,4,279.7,812,1,1
Boston_0_256,1,2,PBS,4,4.9612,905,1,1
Boston_0_256,1,2,PBS,8,5.88018,1592,1,1
Boston_0_256,1,2,PBS,12,17.2859,2646,1,1
Boston_0_256,1,2,PBS,16,19.2692,3276,1,1
Boston_0_256,1,2,PBS,20,37.2204,4231,1,1
Boston_0_256,1,2,PBS,24,373.122,5257,6,11
Boston_0_256,1,2,PBS,28,382.816,6054,6,11
Boston_0_256,1,2,PBS,32,675.638,6646,13,25
Boston_0_256,1,2,PBS,36,681.341,7224,13,25
Paris_1_256,1,10,PBS,4,0.518514,550,1,1
Paris_1_256,1,10,PBS,8,12.6827,1448,2,3
Paris_1_256,1,10,PBS,12,13.0992,1941,2,3
Paris_1_256,1,10,PBS,16,31.5566,2603,4,7
Paris_1_256,1,10,PBS,20,31.6253,2876,4,7
Paris_1_256,1,10,PBS,24,136.918,3621,12,23
Paris_1_256,1,10,PBS,28,138.72,4187,12,23
Paris_1_256,1,10,PBS,32,192.113,4799,14,27
Paris_1_256,1,10,PBS,36,192.496,5217,14,27
Paris_1_256,1,10,PBS,40,202.034,6012,14,27
Paris_1_256,1,10,PBS,44,204.554,6882,14,27
Paris_1_256,1,10,PBS,48,381.399,7945,26,51
Berlin_1_256,1,19,PBS,4,6.93452,772,1,1
Berlin_1_256,1,19,PBS,8,8.85539,1427,1,1
Berlin_1_256,1,19,PBS,12,9.91976,2002,1,1
Berlin_1_256,1,19,PBS,16,221.392,2546,10,19
Berlin_1_256,1,19,PBS,20,222.519,3457,10,19
Berlin_1_256,1,19,PBS,24,223.36,4043,10,19
Berlin_1_256,1,19,PBS,28,226.169,4856,10,19
Berlin_1_256,1,19,PBS,32,263.086,5751,18,35
Berlin_1_256,1,19,PBS,36,263.618,6067,18,35
Berlin_1_256,1,19,PBS,40,276.873,6512,23,43
Berlin_1_256,1,19,PBS,44,263.531,7228,22,42
Berlin_1_256,1,19,PBS,48,281.913,8097,27,52
Berlin_1_256,1,19,PBS,52,282.622,8995,27,52
Berlin_1_256,1,19,PBS,56,284.84,9990,27,52
Berlin_1_256,1,19,PBS,60,287.654,10884,27,52
Berlin_1_256,1,19,PBS,64,484.299,11423,35,67
Berlin_1_256,1,19,PBS,68,404.882,12328,43,82
Boston_0_256,2,2,PBS,4,46.3567,905,1,1
Boston_0_256,2,2,PBS,8,54.671,1592,1,1
Boston_0_256,2,2,PBS,12,160.205,2646,1,1
Boston_0_256,2,2,PBS,16,177.43,3276,1,1
Boston_0_256,2,2,PBS,20,344.043,4231,1,1
Paris_1_256,2,10,PBS,4,4.57178,550,1,1
Paris_1_256,2,10,PBS,8,137.006,1448,2,3
Paris_1_256,2,10,PBS,12,139.781,1941,2,3
Paris_1_256,2,10,PBS,16,386.547,2603,4,7
Paris_1_256,2,10,PBS,20,385.092,2876,4,7
Berlin_1_256,2,19,PBS,4,64.7654,772,1,1
Berlin_1_256,2,19,PBS,8,82.2213,1427,1,1
Berlin_1_256,2,19,PBS,12,91.7085,2002,1,1
Boston_0_256,4,2,PBS,4,436.434,905,1,1
Boston_0_256,4,2,PBS,8,510.697,1592,1,1
Paris_1_256,4,10,PBS,4,42.498,550,1,1
Berlin_1_256,4,19,PBS,4,604.896,772,1,1
Berlin_1_256,4,19,PBS,8,770.398,1427,1,1
Berlin_1_256,4,19,PBS,12,856.32,2002,1,1
Paris_1_256,1,2,CBS,4,0.0980322,494,1,1
Paris_1_256,1,2,CBS,8,0.142793,1071,1,1
Paris_1_256,1,2,CBS,12,5.34221,1942,1,1
Paris_1_256,1,2,CBS,16,13.7058,2385,3,5
Paris_1_256,1,2,CBS,20,23.0193,3156,6,11
Paris_1_256,1,2,CBS,24,228.894,4216,29,57
Paris_1_256,1,2,CBS,28,478.236,5092,51,101
Berlin_1_256,1,11,CBS,4,5.32394,707,1,1
Berlin_1_256,1,11,CBS,8,8.77474,1565,1,1
Berlin_1_256,1,11,CBS,12,13.3613,2140,1,1
Berlin_1_256,1,11,CBS,16,15.372,2680,1,1
Berlin_1_256,1,11,CBS,20,15.8909,3512,1,1
Berlin_1_256,1,11,CBS,24,22.4549,4255,1,1
