Resolution,Map,Scenario,Agents,Cost Ratio
1,empty-8-8,1,2,1.0
1,empty-8-8,2,2,1.0
1,empty-8-8,3,2,1.0
1,empty-8-8,4,2,1.0
1,empty-8-8,5,2,1.0
1,empty-8-8,6,2,1.0
1,empty-8-8,7,2,1.0
1,empty-8-8,8,2,1.0
1,empty-8-8,9,2,1.0
1,empty-8-8,10,2,1.0
1,empty-8-8,11,2,1.0
1,empty-8-8,12,2,1.0
1,empty-8-8,13,2,1.0
1,empty-8-8,14,2,1.0
1,empty-8-8,15,2,1.0
1,empty-8-8,1,4,1.0
1,empty-8-8,2,4,1.0
1,empty-8-8,3,4,1.0
1,empty-8-8,4,4,1.0
1,empty-8-8,5,4,1.0
1,empty-8-8,6,4,1.0
1,empty-8-8,7,4,1.0
1,empty-8-8,8,4,1.0
1,empty-8-8,9,4,1.0
1,empty-8-8,10,4,1.0
1,empty-8-8,11,4,1.0
1,empty-8-8,12,4,1.0
1,empty-8-8,13,4,1.0
1,empty-8-8,14,4,1.0
1,empty-8-8,15,4,1.0
1,empty-8-8,1,6,1.0
1,empty-8-8,2,6,1.0
1,empty-8-8,3,6,1.0
1,empty-8-8,4,6,1.0
1,empty-8-8,5,6,1.0
1,empty-8-8,6,6,1.0
1,empty-8-8,7,6,1.0
1,empty-8-8,8,6,1.0
1,empty-8-8,9,6,1.0
1,empty-8-8,10,6,1.0
1,empty-8-8,11,6,1.0
1,empty-8-8,12,6,1.0
1,empty-8-8,13,6,1.0
1,empty-8-8,14,6,1.0
1,empty-8-8,15,6,1.0
1,empty-8-8,1,8,1.0
1,empty-8-8,2,8,1.0
1,empty-8-8,3,8,1.0
1,empty-8-8,4,8,1.0
1,empty-8-8,5,8,1.0
1,empty-8-8,6,8,1.0
1,empty-8-8,7,8,1.0
1,empty-8-8,8,8,1.0
1,empty-8-8,9,8,1.0
1,empty-8-8,10,8,1.0
1,empty-8-8,11,8,1.0
1,empty-8-8,12,8,1.0
1,empty-8-8,13,8,1.0
1,empty-8-8,14,8,1.0
1,empty-8-8,15,8,1.0
1,empty-8-8,1,10,1.0
1,empty-8-8,2,10,1.0
1,empty-8-8,3,10,1.0
1,empty-8-8,4,10,1.0
1,empty-8-8,5,10,1.0
1,empty-8-8,6,10,1.0
1,empty-8-8,7,10,1.0
1,empty-8-8,8,10,1.0
1,empty-8-8,9,10,1.0
1,empty-8-8,10,10,1.0
1,empty-8-8,11,10,1.0
1,empty-8-8,12,10,1.0
1,empty-8-8,13,10,1.0
1,empty-8-8,14,10,1.0
1,empty-8-8,15,10,1.0
1,empty-8-8,1,12,1.0
1,empty-8-8,2,12,1.0
1,empty-8-8,3,12,1.0
1,empty-8-8,4,12,1.0
1,empty-8-8,5,12,1.0
1,empty-8-8,6,12,1.0
1,empty-8-8,7,12,1.0
1,empty-8-8,8,12,1.0
1,empty-8-8,9,12,1.0
1,empty-8-8,10,12,1.0
1,empty-8-8,11,12,1.0
1,empty-8-8,12,12,1.0
1,empty-8-8,13,12,1.0
1,empty-8-8,14,12,1.0
1,empty-8-8,15,12,1.0
1,empty-8-8,1,14,1.0
1,empty-8-8,2,14,1.0
1,empty-8-8,3,14,1.0
1,empty-8-8,4,14,1.0
1,empty-8-8,5,14,1.0
1,empty-8-8,6,14,1.0
1,empty-8-8,7,14,1.0
1,empty-8-8,8,14,1.0
1,empty-8-8,9,14,1.0
1,empty-8-8,10,14,1.0
1,empty-8-8,11,14,1.0
1,empty-8-8,12,14,1.0
1,empty-8-8,13,14,1.0
1,empty-8-8,14,14,1.0
1,empty-8-8,15,14,1.0
1,empty-8-8,1,16,1.0
1,empty-8-8,2,16,1.0
1,empty-8-8,3,16,1.0
1,empty-8-8,4,16,1.0
1,empty-8-8,5,16,1.0
1,empty-8-8,7,16,1.0
1,empty-8-8,8,16,1.0
1,empty-8-8,9,16,1.0
1,empty-8-8,10,16,1.0112359550561798
1,empty-8-8,11,16,1.0
1,empty-8-8,12,16,1.0
1,empty-8-8,13,16,1.0
1,empty-8-8,14,16,1.0
1,empty-8-8,15,16,1.0
1,empty-8-8,1,18,1.0
1,empty-8-8,2,18,1.0125
1,empty-8-8,3,18,1.0
1,empty-8-8,4,18,1.0
1,empty-8-8,5,18,1.0
1,empty-8-8,7,18,1.0
1,empty-8-8,8,18,1.0
1,empty-8-8,9,18,1.0
1,empty-8-8,10,18,1.0
1,empty-8-8,12,18,1.0
1,empty-8-8,13,18,1.0
1,empty-8-8,14,18,1.0
1,empty-8-8,15,18,1.0
1,empty-8-8,3,20,1.0
1,empty-8-8,4,20,1.0120481927710843
1,empty-8-8,5,20,1.0
1,empty-8-8,7,20,1.0
1,empty-8-8,8,20,1.0
1,empty-8-8,9,20,1.0
1,empty-8-8,10,20,1.0
1,empty-8-8,12,20,1.0
1,empty-8-8,15,20,1.0
1,empty-8-8,3,22,1.0
1,empty-8-8,4,22,1.0
1,empty-16-16,1,2,1.0
1,empty-16-16,2,2,1.0
1,empty-16-16,3,2,1.0
1,empty-16-16,4,2,1.0
1,empty-16-16,5,2,1.0
1,empty-16-16,6,2,1.0
1,empty-16-16,7,2,1.0
1,empty-16-16,8,2,1.0
1,empty-16-16,9,2,1.0
1,empty-16-16,10,2,1.0
1,empty-16-16,11,2,1.0
1,empty-16-16,12,2,1.0
1,empty-16-16,13,2,1.0
1,empty-16-16,14,2,1.0
1,empty-16-16,15,2,1.0
1,empty-16-16,1,4,1.0
1,empty-16-16,2,4,1.0
1,empty-16-16,3,4,1.0
1,empty-16-16,4,4,1.0
1,empty-16-16,5,4,1.0
1,empty-16-16,6,4,1.0
1,empty-16-16,7,4,1.0
1,empty-16-16,8,4,1.0
1,empty-16-16,9,4,1.0
1,empty-16-16,10,4,1.0
1,empty-16-16,11,4,1.0
1,empty-16-16,12,4,1.0
1,empty-16-16,13,4,1.0
1,empty-16-16,14,4,1.0
1,empty-16-16,15,4,1.0
1,empty-16-16,1,6,1.0
1,empty-16-16,2,6,1.0
1,empty-16-16,3,6,1.0
1,empty-16-16,4,6,1.0
