map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
empty-8-8,1,1,CBS,4,0.000310995,22,1,1
empty-8-8,1,1,CBS,8,0.00139316,45,4,7
empty-8-8,1,1,CBS,12,0.00746527,64,17,33
empty-8-8,1,1,CBS,16,0.00823005,81,15,29
empty-16-16,1,7,CBS,4,0.00068979,45,1,1
empty-16-16,1,7,CBS,8,0.0113568,77,2,3
empty-16-16,1,7,CBS,12,0.0145049,112,4,7
empty-16-16,1,7,CBS,16,0.0274107,146,8,15
empty-16-16,1,7,CBS,20,0.0749501,190,57,113
empty-16-16,1,7,CBS,24,0.177105,227,105,209
empty-16-16,1,7,CBS,28,0.252219,280,106,211
empty-16-16,1,7,CBS,32,1.12712,310,508,1015
empty-32-32,1,13,CBS,4,0.000859489,74,1,1
empty-32-32,1,13,CBS,8,0.00217551,202,1,1
empty-32-32,1,13,CBS,12,0.00577697,257,3,5
empty-32-32,1,13,CBS,16,0.0156946,330,9,17
empty-32-32,1,13,CBS,20,0.097897,402,20,39
empty-32-32,1,13,CBS,24,0.129852,501,44,87
empty-48-48,1,19,CBS,4,0.00172626,138,1,1
empty-48-48,1,19,CBS,8,0.00319385,226,1,1
empty-48-48,1,19,CBS,12,0.00550697,312,2,3
empty-48-48,1,19,CBS,16,0.0162072,420,7,13
empty-48-48,1,19,CBS,20,0.787103,601,15,29
empty-48-48,1,19,CBS,24,0.881464,670,22,43
empty-48-48,1,19,CBS,28,0.507831,818,23,45
empty-48-48,1,19,CBS,32,0.738359,964,43,85
empty-48-48,1,19,CBS,36,1.90915,1083,244,487
empty-48-48,1,19,CBS,40,2.71871,1217,254,507
empty-48-48,1,19,CBS,44,3.19043,1314,261,521
empty-48-48,1,19,CBS,48,6.94768,1426,546,1091
empty-48-48,1,19,CBS,52,13.4191,1538,1004,2007
empty-48-48,1,19,CBS,56,7.03568,1597,467,933
empty-48-48,1,19,CBS,60,15.8829,1717,980,1959
empty-48-48,1,19,CBS,64,15.517,1841,932,1863
empty-48-48,1,19,CBS,68,17.5221,1950,940,1879
empty-48-48,1,19,CBS,72,47.0037,2081,1714,3427
empty-48-48,1,19,CBS,76,47.2131,2213,2028,4055
empty-8-8,2,1,CBS,4,0.000499476,22,1,1
empty-8-8,2,1,CBS,8,0.00124883,45,2,3
empty-8-8,2,1,CBS,12,0.00973571,64,12,23
empty-8-8,2,1,CBS,16,0.0135602,81,17,33
empty-8-8,2,1,CBS,20,3.96832,96,2570,5139
empty-16-16,2,7,CBS,4,0.00115,45,1,1
empty-16-16,2,7,CBS,8,0.127082,77,3,5
empty-16-16,2,7,CBS,12,0.133572,112,4,7
empty-16-16,2,7,CBS,16,0.262686,146,7,13
empty-16-16,2,7,CBS,20,0.414952,190,48,95
empty-16-16,2,7,CBS,24,0.766994,227,106,211
empty-16-16,2,7,CBS,28,1.17298,280,135,269
empty-16-16,2,7,CBS,32,3.61658,310,865,1729
empty-32-32,2,13,CBS,4,0.00182634,74,1,1
empty-32-32,2,13,CBS,8,0.00458167,202,1,1
empty-32-32,2,13,CBS,12,0.00865341,257,3,5
empty-32-32,2,13,CBS,16,0.0205377,330,9,17
empty-32-32,2,13,CBS,20,1.95525,402,40,79
empty-32-32,2,13,CBS,24,1.53787,501,110,219
empty-48-48,2,19,CBS,4,0.00288191,138,1,1
empty-48-48,2,19,CBS,8,0.0053936,226,1,1
empty-48-48,2,19,CBS,12,0.0094921,312,2,3
empty-48-48,2,19,CBS,16,0.0293038,420,6,11
empty-48-48,2,19,CBS,20,33.5262,601,116,231
empty-48-48,2,19,CBS,24,17.973,670,419,837
empty-48-48,2,19,CBS,28,13.4242,818,277,553
empty-48-48,2,19,CBS,32,15.0633,964,293,585
empty-48-48,2,19,CBS,36,13.96,1083,320,639
empty-48-48,2,19,CBS,40,14.5425,1217,325,649
empty-48-48,2,19,CBS,44,68.3561,1314,962,1923
empty-48-48,2,19,CBS,48,144.963,1426,2103,4205
empty-48-48,2,19,CBS,52,166.148,1538,3872,7743
empty-48-48,2,19,CBS,56,172.467,1597,4023,8045
empty-48-48,2,19,CBS,60,180.667,1717,3853,7705
empty-48-48,2,19,CBS,64,200.837,1841,4088,8175
empty-48-48,2,19,CBS,68,447.742,1950,7938,15875
empty-48-48,2,19,CBS,72,643.393,2081,7847,15693
empty-48-48,2,19,CBS,76,880.082,2213,15800,31599
empty-8-8,4,1,CBS,4,0.00103279,22,1,1
empty-8-8,4,1,CBS,8,0.00448932,45,5,9
empty-8-8,4,1,CBS,12,0.723529,64,562,1123
empty-8-8,4,1,CBS,16,3.0897,81,1847,3693
empty-8-8,4,1,CBS,20,187.903,96,46322,92643
empty-16-16,4,7,CBS,4,0.00312511,45,1,1
empty-16-16,4,7,CBS,8,2.75265,77,6,11
empty-16-16,4,7,CBS,12,2.7723,112,8,15
empty-16-16,4,7,CBS,16,18.8059,146,53,105
empty-16-16,4,7,CBS,20,122.163,190,1958,3915
empty-16-16,4,7,CBS,24,159.3,227,8333,16665
empty-16-16,4,7,CBS,28,449.515,280,30937,61873
empty-32-32,4,13,CBS,4,0.00311657,74,1,1
empty-32-32,4,13,CBS,8,0.00952337,202,1,1
empty-32-32,4,13,CBS,12,0.0364891,257,16,31
empty-32-32,4,13,CBS,16,0.162445,330,49,97
empty-32-32,4,13,CBS,20,35.6148,402,1084,2167
empty-32-32,4,13,CBS,24,56.0166,501,2119,4237
empty-48-48,4,19,CBS,4,0.00625255,138,1,1
empty-48-48,4,19,CBS,8,0.0113201,226,1,1
empty-48-48,4,19,CBS,12,0.0808051,312,35,69
empty-48-48,4,19,CBS,16,0.16811,420,47,93
empty-8-8,1,2,PBS,4,0.000275899,19,1,1
empty-8-8,1,2,PBS,8,0.0040154,35,11,21
empty-8-8,1,2,PBS,12,0.00707909,54,16,31
empty-8-8,1,2,PBS,16,0.136653,71,330,573
empty-8-8,1,2,PBS,20,2.54899,94,4805,8069
