map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
room-32-32-4,1,1,CBS,4,0.0218421,128,2,3
room-32-32-4,1,1,CBS,8,0.0360076,258,6,11
room-32-32-4,1,1,CBS,12,0.311155,369,15,29
room-32-32-4,1,1,CBS,16,2.17646,494,123,245
room-32-32-4,1,1,CBS,20,94.131,569,4554,9107
room-32-32-4,1,1,CBS,24,762.683,657,79568,159135
room-64-64-8,1,9,CBS,4,0.0699553,215,1,1
room-64-64-8,1,9,CBS,8,3.02646,464,4,7
room-64-64-16,1,17,CBS,4,0.553368,238,1,1
room-64-64-16,1,17,CBS,8,3.17267,429,4,7
room-64-64-16,1,17,CBS,12,9.02669,666,16,31
room-64-64-16,1,17,CBS,16,21.8741,890,59,117
room-32-32-4,2,1,CBS,4,0.116228,128,2,3
room-32-32-4,2,1,CBS,8,0.375561,257.5,9,17
room-32-32-4,2,1,CBS,12,1.65736,368.5,14,27
room-32-32-4,2,1,CBS,16,195.444,493,2721,5441
room-64-64-8,2,9,CBS,4,0.576396,215,1,1
room-64-64-8,2,9,CBS,8,24.7531,463,4,7
room-64-64-16,2,17,CBS,4,4.95697,238,1,1
room-64-64-16,2,17,CBS,8,44.4159,429,6,11
room-64-64-16,2,17,CBS,12,228.861,665.5,50,99
room-32-32-4,4,1,CBS,4,0.875746,128,2,3
room-32-32-4,4,1,CBS,8,56.3937,257.5,220,439
room-32-32-4,4,1,CBS,12,160.355,368.5,379,757
room-64-64-8,4,9,CBS,4,5.08469,215,1,1
room-64-64-16,4,17,CBS,4,46.0787,238,1,1
room-64-64-8,1,2,PBS,4,0.53416,313,2,3
room-64-64-8,1,2,PBS,8,0.51979,414,2,3
room-64-64-8,1,2,PBS,12,2.56836,609,5,9
room-64-64-8,1,2,PBS,16,44.4469,880,88,175
room-64-64-16,1,10,PBS,4,0.108229,123,1,1
room-64-64-16,1,10,PBS,8,0.208361,294,1,1
room-64-64-16,1,10,PBS,12,0.250077,388,2,3
room-64-64-16,1,10,PBS,16,4.91084,714,5,9
room-64-64-16,1,10,PBS,20,14.3565,990,20,39
room-32-32-4,1,19,PBS,4,0.162994,144,4,7
room-32-32-4,1,19,PBS,8,0.660131,267,17,32
room-32-32-4,1,19,PBS,12,1.36595,332,34,63
room-32-32-4,1,19,PBS,16,12.7215,424,296,571
room-32-32-4,1,19,PBS,20,23.0135,478,558,1059
room-32-32-4,1,19,PBS,24,121.712,587,1793,3316
room-64-64-8,2,2,PBS,4,5.07604,313,2,3
room-64-64-8,2,2,PBS,8,5.09924,414,2,3
room-64-64-8,2,2,PBS,12,28.6324,609,5,9
room-64-64-16,2,10,PBS,4,0.972595,123,1,1
room-64-64-16,2,10,PBS,8,1.86764,294,1,1
room-64-64-16,2,10,PBS,12,2.26745,388,2,3
room-64-64-16,2,10,PBS,16,37.1697,713.5,4,7
room-64-64-16,2,10,PBS,20,160.319,989.5,19,37
room-32-32-4,2,19,PBS,4,1.2939,144,4,7
room-32-32-4,2,19,PBS,8,6.72778,266.5,20,37
room-32-32-4,2,19,PBS,12,11.2395,331.5,29,55
