map_name,resolution,scenario,algorithm,agents,time,cost,evaluated_nodes,total_nodes
random-32-32-10,1,1,CBS,4,0.00224794,85,1,1
random-32-32-10,1,1,CBS,8,0.00455248,208,2,3
random-32-32-10,1,1,CBS,12,0.00642313,273,2,3
random-32-32-10,1,1,CBS,16,0.127534,407,4,7
random-32-32-10,1,1,CBS,20,0.341865,474,20,39
random-32-32-10,1,1,CBS,24,0.609978,570,60,119
random-32-32-10,1,1,CBS,28,0.582107,658,104,207
random-32-32-10,1,1,CBS,32,0.87642,770,113,225
random-32-32-10,1,1,CBS,36,3.15511,846,243,485
random-32-32-10,1,1,CBS,40,7.07872,940,478,955
random-32-32-10,1,1,CBS,44,107.271,1033,15546,31091
random-32-32-20,1,7,CBS,4,0.00166132,97,1,1
random-32-32-20,1,7,CBS,8,0.0140844,197,2,3
random-32-32-20,1,7,CBS,12,0.397373,261,29,57
random-32-32-20,1,7,CBS,16,37.6714,306,3032,6063
random-32-32-20,1,7,CBS,20,39.7321,401,3688,7375
random-32-32-20,1,7,CBS,24,229.185,462,23850,47699
random-64-64-10,1,13,CBS,4,0.00377164,121,1,1
random-64-64-10,1,13,CBS,8,0.0940388,313,7,13
random-64-64-10,1,13,CBS,12,0.101044,490,7,13
random-64-64-10,1,13,CBS,16,0.191728,674,16,31
random-64-64-10,1,13,CBS,20,0.867601,805,22,43
random-64-64-10,1,13,CBS,24,0.792548,1039,29,57
random-64-64-20,1,19,CBS,4,0.0116654,204,1,1
random-64-64-20,1,19,CBS,8,0.0152742,445,1,1
random-64-64-20,1,19,CBS,12,0.0397699,642,2,3
random-64-64-20,1,19,CBS,16,0.0680702,846,2,3
random-64-64-20,1,19,CBS,20,0.284335,983,4,7
random-64-64-20,1,19,CBS,24,0.714455,1166,14,27
random-64-64-20,1,19,CBS,28,0.942519,1310,22,43
random-64-64-20,1,19,CBS,32,1.60686,1492,60,119
random-64-64-20,1,19,CBS,36,3.1273,1671,112,223
random-64-64-20,1,19,CBS,40,3.52733,1865,218,435
random-64-64-20,1,19,CBS,44,7.96798,2041,485,969
random-64-64-20,1,19,CBS,48,17.2567,2222,869,1737
random-32-32-10,2,1,CBS,4,0.00342683,85,1,1
random-32-32-10,2,1,CBS,8,0.0088955,208,2,3
random-32-32-10,2,1,CBS,12,0.0166161,273,4,7
random-32-32-10,2,1,CBS,16,6.01041,407,14,27
random-32-32-10,2,1,CBS,20,4.83375,474,60,119
random-32-32-10,2,1,CBS,24,3.12428,570,201,401
random-32-32-10,2,1,CBS,28,6.1197,658,225,449
random-32-32-10,2,1,CBS,32,8.17441,770,237,473
random-32-32-10,2,1,CBS,36,17.0611,846,398,795
random-32-32-10,2,1,CBS,40,18.1325,940,478,955
random-32-32-20,2,7,CBS,4,0.00382641,97,1,1
random-32-32-20,2,7,CBS,8,0.0677771,197,2,3
random-64-64-10,2,13,CBS,4,0.00877585,121,1,1
random-64-64-10,2,13,CBS,8,1.10467,313,10,19
random-64-64-10,2,13,CBS,12,1.12182,490,10,19
random-64-64-10,2,13,CBS,16,1.74397,674,29,57
random-64-64-10,2,13,CBS,20,3.95667,805,32,63
random-64-64-10,2,13,CBS,24,5.07341,1039,32,63
random-64-64-20,2,19,CBS,4,0.0603363,204,1,1
random-64-64-20,2,19,CBS,8,0.0814569,445,1,1
random-64-64-20,2,19,CBS,12,0.231476,642,2,3
random-64-64-20,2,19,CBS,16,0.439726,846,2,3
random-64-64-20,2,19,CBS,20,1.95615,983,5,9
random-64-64-20,2,19,CBS,24,6.3178,1166,25,49
random-64-64-20,2,19,CBS,28,5.21254,1310,27,53
random-64-64-20,2,19,CBS,32,19.2576,1492,209,417
random-64-64-20,2,19,CBS,36,45.3098,1671,968,1935
random-32-32-10,4,1,CBS,4,0.00693038,85,1,1
random-32-32-10,4,1,CBS,8,0.0347627,208,4,7
random-32-32-10,4,1,CBS,12,0.106191,273,17,33
random-32-32-10,4,1,CBS,16,341.931,407,116,231
random-32-32-10,4,1,CBS,20,101.215,474,748,1495
random-32-32-20,4,7,CBS,4,0.00830054,97,1,1
random-32-32-20,4,7,CBS,8,0.969743,197,4,7
random-64-64-10,4,13,CBS,4,0.0290517,121,1,1
random-64-64-10,4,13,CBS,8,35.6352,313,59,117
random-64-64-10,4,13,CBS,12,35.9639,490,59,117
random-64-64-10,4,13,CBS,16,52.4637,674,463,925
random-64-64-10,4,13,CBS,20,137.614,805,469,937
random-64-64-10,4,13,CBS,24,138.38,1039,504,1007
random-64-64-20,4,19,CBS,4,0.487811,204,1,1
random-64-64-20,4,19,CBS,8,0.576692,445,1,1
random-64-64-20,4,19,CBS,12,1.72689,642,2,3
random-64-64-20,4,19,CBS,16,3.44193,846,2,3
random-64-64-20,4,19,CBS,20,16.4244,983,7,13
random-64-64-20,4,19,CBS,24,52.2915,1166,72,143
random-64-64-20,4,19,CBS,28,82.3707,1310,89,177
random-64-64-20,4,19,CBS,32,98.9516,1492,515,1029
random-32-32-10,1,2,PBS,4,0.00213708,43,1,1
random-32-32-10,1,2,PBS,8,0.00216402,129,1,1
random-32-32-10,1,2,PBS,12,0.0133206,243,4,7
random-32-32-10,1,2,PBS,16,0.0272964,323,8,15
random-32-32-10,1,2,PBS,20,0.108784,415,25,49
random-32-32-10,1,2,PBS,24,0.138675,510,36,69
random-32-32-10,1,2,PBS,28,1.06434,613,138,259
random-32-32-10,1,2,PBS,32,398.985,716,31349,57471
random-32-32-20,1,8,PBS,4,0.00155566,94,1,1
random-32-32-20,1,8,PBS,8,0.00237258,141,1,1
random-32-32-20,1,8,PBS,12,0.0136486,245,4,7
random-32-32-20,1,8,PBS,16,0.0166615,357,4,7
random-32-32-20,1,8,PBS,20,0.0382217,438,8,15
random-32-32-20,1,8,PBS,24,0.245174,535,24,47
random-32-32-20,1,8,PBS,28,1.98374,630,240,428
random-64-64-10,1,14,PBS,4,0.00696927,202,1,1
random-64-64-10,1,14,PBS,8,0.0118673,434,1,1
random-64-64-10,1,14,PBS,12,1.20027,638,3,5
random-64-64-10,1,14,PBS,16,0.0931363,785,7,13
random-64-64-10,1,14,PBS,20,0.107531,982,7,13
random-64-64-10,1,14,PBS,24,0.123025,1168,7,13
random-64-64-10,1,14,PBS,28,0.149501,1318,8,15
random-64-64-10,1,14,PBS,32,17.5921,1582,31,61
random-64-64-10,1,14,PBS,36,21.9274,1752,54,107
random-64-64-10,1,14,PBS,40,36.1817,1904,121,241
random-64-64-10,1,14,PBS,44,135.339,2130,982,1963
random-64-64-20,1,20,PBS,4,0.00931419,205,1,1
random-64-64-20,1,20,PBS,8,0.0440129,402,2,3
random-64-64-20,1,20,PBS,12,0.0538709,591,2,3
random-64-64-20,1,20,PBS,16,0.102265,766,3,5
random-64-64-20,1,20,PBS,20,0.324191,1009,9,17
random-64-64-20,1,20,PBS,24,0.505811,1195,14,27
random-64-64-20,1,20,PBS,28,0.505984,1357,17,33
random-64-64-20,1,20,PBS,32,1.2118,1479,35,69
random-64-64-20,1,20,PBS,36,2.42015,1574,59,117
random-64-64-20,1,20,PBS,40,4.91394,1819,130,259
random-64-64-20,1,20,PBS,44,9.34548,2011,214,427
random-32-32-10,2,2,PBS,4,0.00544118,43,1,1
random-32-32-10,2,2,PBS,8,0.00632658,129,1,1
random-32-32-10,2,2,PBS,12,0.0347297,243,4,7
random-32-32-10,2,2,PBS,16,0.080518,323,8,15
random-32-32-10,2,2,PBS,20,0.206269,415,14,27
random-32-32-10,2,2,PBS,24,0.541113,510,31,61
random-32-32-10,2,2,PBS,28,7.04109,613,107,209
random-32-32-10,2,2,PBS,32,10.7317,713,208,405
random-32-32-10,2,2,PBS,36,29.6902,840,455,899
random-32-32-10,2,2,PBS,40,30.1772,889,462,909
random-32-32-10,2,2,PBS,44,30.8886,970,501,994
random-32-32-20,2,8,PBS,4,0.00314184,94,1,1
random-32-32-20,2,8,PBS,8,0.00601191,141,1,1
random-32-32-20,2,8,PBS,12,0.0492972,245,4,7
random-32-32-20,2,8,PBS,16,0.0555252,357,4,7
random-32-32-20,2,8,PBS,20,0.186402,438,8,15
random-32-32-20,2,8,PBS,24,1.06954,535,19,37
random-32-32-20,2,8,PBS,28,19.0947,629.5,409,747
random-64-64-10,2,14,PBS,4,0.0317842,202,1,1
random-64-64-10,2,14,PBS,8,0.0575754,434,1,1
random-64-64-10,2,14,PBS,12,13.7396,638,3,5
random-64-64-10,2,14,PBS,16,0.377478,785,7,13
random-64-64-10,2,14,PBS,20,0.41106,982,7,13
random-64-64-10,2,14,PBS,24,0.442527,1168,7,13
random-64-64-10,2,14,PBS,28,0.502744,1318,8,15
random-64-64-10,2,14,PBS,32,210.364,1582,31,61
