Algorithm,Resolution,Map,Scenario,Num Agents,Flowtime,Time
CBS,1,empty-8-8,1,2,20.0,0.0
CBS,1,empty-8-8,2,2,26.0,0.0
CBS,1,empty-8-8,3,2,26.0,0.0
CBS,1,empty-8-8,4,2,20.0,0.0
CBS,1,empty-8-8,5,2,24.0,0.0
CBS,1,empty-8-8,6,2,24.0,0.0
CBS,1,empty-8-8,7,2,20.0,0.0
CBS,1,empty-8-8,8,2,20.0,0.0
CBS,1,empty-8-8,9,2,12.0,0.0
CBS,1,empty-8-8,10,2,24.0,0.0
CBS,1,empty-8-8,11,2,24.0,0.0
CBS,1,empty-8-8,12,2,12.0,0.0
CBS,1,empty-8-8,13,2,28.0,0.0
CBS,1,empty-8-8,14,2,20.0,0.0
CBS,1,empty-8-8,15,2,18.0,0.0
CBS,1,empty-8-8,16,2,14.0,0.0
CBS,1,empty-8-8,17,2,12.0,0.0
CBS,1,empty-8-8,18,2,10.0,0.0
CBS,1,empty-8-8,19,2,20.0,0.0
CBS,1,empty-8-8,20,2,28.0,0.0
CBS,1,empty-8-8,1,4,42.0,0.0
CBS,1,empty-8-8,2,4,42.0,0.0
CBS,1,empty-8-8,3,4,36.0,0.0
CBS,1,empty-8-8,4,4,42.0,0.0
CBS,1,empty-8-8,5,4,48.0,0.0
CBS,1,empty-8-8,6,4,46.0,0.0
CBS,1,empty-8-8,7,4,38.0,0.0
CBS,1,empty-8-8,8,4,40.0,0.0
CBS,1,empty-8-8,9,4,54.0,0.0
CBS,1,empty-8-8,10,4,40.0,0.0
CBS,1,empty-8-8,11,4,38.0,0.0
CBS,1,empty-8-8,12,4,24.0,0.0
CBS,1,empty-8-8,13,4,42.0,0.0
CBS,1,empty-8-8,14,4,50.0,0.0
CBS,1,empty-8-8,15,4,36.0,0.0
CBS,1,empty-8-8,16,4,30.0,0.0
CBS,1,empty-8-8,17,4,34.0,0.0
CBS,1,empty-8-8,18,4,28.0,0.0
CBS,1,empty-8-8,19,4,38.0,0.0
CBS,1,empty-8-8,20,4,52.0,0.0
CBS,1,empty-8-8,1,6,64.0,0.0
CBS,1,empty-8-8,2,6,52.0,0.0
CBS,1,empty-8-8,3,6,64.0,0.0
CBS,1,empty-8-8,4,6,54.0,0.000633
CBS,1,empty-8-8,5,6,70.0,0.0
CBS,1,empty-8-8,6,6,60.0,0.0
CBS,1,empty-8-8,7,6,50.0,0.0
CBS,1,empty-8-8,8,6,54.0,0.0
CBS,1,empty-8-8,9,6,72.0,0.0
CBS,1,empty-8-8,10,6,54.0,0.0
CBS,1,empty-8-8,11,6,52.0,0.0
CBS,1,empty-8-8,12,6,40.0,0.0
CBS,1,empty-8-8,13,6,60.0,0.0
CBS,1,empty-8-8,14,6,68.0,0.0
CBS,1,empty-8-8,15,6,44.0,0.0
CBS,1,empty-8-8,16,6,46.0,0.0
CBS,1,empty-8-8,17,6,52.0,0.0
CBS,1,empty-8-8,18,6,48.0,0.0
CBS,1,empty-8-8,19,6,54.0,0.000734
CBS,1,empty-8-8,20,6,76.0,0.0
CBS,1,empty-8-8,1,8,88.0,0.0
CBS,1,empty-8-8,2,8,72.0,0.001225
CBS,1,empty-8-8,3,8,90.0,0.000347
CBS,1,empty-8-8,4,8,72.0,0.001716
CBS,1,empty-8-8,5,8,84.0,0.0
CBS,1,empty-8-8,6,8,76.0,0.0
CBS,1,empty-8-8,7,8,72.0,0.0
CBS,1,empty-8-8,8,8,82.0,0.003289
CBS,1,empty-8-8,9,8,98.0,0.004654
CBS,1,empty-8-8,10,8,72.0,0.0
CBS,1,empty-8-8,11,8,72.0,0.002615
CBS,1,empty-8-8,12,8,56.0,0.0
CBS,1,empty-8-8,13,8,72.0,0.0
CBS,1,empty-8-8,14,8,90.0,0.0
CBS,1,empty-8-8,15,8,54.0,0.0
CBS,1,empty-8-8,16,8,72.0,0.0
CBS,1,empty-8-8,17,8,78.0,0.0
CBS,1,empty-8-8,18,8,72.0,0.0
CBS,1,empty-8-8,19,8,72.0,0.00107
CBS,1,empty-8-8,20,8,106.0,0.0
CBS,1,empty-8-8,1,10,108.0,0.0
CBS,1,empty-8-8,2,10,92.0,0.0
CBS,1,empty-8-8,3,10,106.0,0.0
CBS,1,empty-8-8,4,10,98.0,0.000411
CBS,1,empty-8-8,5,10,94.0,0.0
CBS,1,empty-8-8,6,10,90.0,0.016707
CBS,1,empty-8-8,7,10,88.0,0.001929
CBS,1,empty-8-8,8,10,98.0,0.009176
CBS,1,empty-8-8,9,10,120.0,0.011637
CBS,1,empty-8-8,10,10,96.0,0.0
CBS,1,empty-8-8,11,10,96.0,0.009887
CBS,1,empty-8-8,12,10,72.0,0.001278
CBS,1,empty-8-8,13,10,92.0,0.005261
CBS,1,empty-8-8,14,10,106.0,0.052651
CBS,1,empty-8-8,15,10,82.0,0.0
CBS,1,empty-8-8,16,10,92.0,0.0
CBS,1,empty-8-8,17,10,100.0,0.003829
CBS,1,empty-8-8,18,10,90.0,0.010047
CBS,1,empty-8-8,19,10,94.0,0.007116
CBS,1,empty-8-8,20,10,134.0,0.030332
CBS,1,empty-8-8,1,12,130.0,0.007891
CBS,1,empty-8-8,2,12,104.0,0.00639
CBS,1,empty-8-8,3,12,112.0,0.0
CBS,1,empty-8-8,4,12,106.0,0.006891
CBS,1,empty-8-8,5,12,118.0,0.000958
CBS,1,empty-8-8,6,12,114.0,0.104116
CBS,1,empty-8-8,7,12,120.0,0.105636
CBS,1,empty-8-8,8,12,104.0,0.014792
CBS,1,empty-8-8,9,12,154.0,0.134
CBS,1,empty-8-8,10,12,122.0,0.003818
CBS,1,empty-8-8,11,12,120.0,0.058758
CBS,1,empty-8-8,12,12,112.0,0.0
CBS,1,empty-8-8,13,12,116.0,0.020051
CBS,1,empty-8-8,14,12,120.0,0.06875
CBS,1,empty-8-8,15,12,94.0,0.005223
CBS,1,empty-8-8,16,12,122.0,0.00997
CBS,1,empty-8-8,17,12,114.0,0.024974
CBS,1,empty-8-8,18,12,110.0,0.018335
CBS,1,empty-8-8,19,12,118.0,0.306092
CBS,1,empty-8-8,20,12,152.0,0.477832
CBS,1,empty-8-8,1,14,140.0,0.0
CBS,1,empty-8-8,2,14,124.0,0.101724
CBS,1,empty-8-8,3,14,120.0,0.001719
CBS,1,empty-8-8,4,14,118.0,0.003361
CBS,1,empty-8-8,5,14,142.0,0.004988
CBS,1,empty-8-8,6,14,138.0,0.563452
CBS,1,empty-8-8,7,14,148.0,0.207234
CBS,1,empty-8-8,8,14,122.0,0.100929
CBS,1,empty-8-8,9,14,170.0,0.142027
CBS,1,empty-8-8,10,14,146.0,0.025595
CBS,1,empty-8-8,11,14,136.0,0.21088
CBS,1,empty-8-8,12,14,126.0,0.111873
CBS,1,empty-8-8,13,14,130.0,0.037271
CBS,1,empty-8-8,14,14,134.0,0.088487
CBS,1,empty-8-8,15,14,104.0,0.022957
CBS,1,empty-8-8,16,14,142.0,0.020091
CBS,1,empty-8-8,17,14,134.0,0.015667
CBS,1,empty-8-8,18,14,140.0,0.524421
CBS,1,empty-8-8,19,14,138.0,0.80596
