Algorithm,Resolution,Map,Agents,Success Rate
CBS,1,empty-8-8,2,1.0
CBS,1,empty-8-8,4,1.0
CBS,1,empty-8-8,6,1.0
CBS,1,empty-8-8,8,1.0
CBS,1,empty-8-8,10,1.0
CBS,1,empty-8-8,12,1.0
CBS,1,empty-8-8,14,1.0
CBS,1,empty-8-8,16,0.85
CBS,1,empty-8-8,18,0.8
CBS,1,empty-8-8,20,0.45
CBS,1,empty-8-8,22,0.1
CBS,1,empty-8-8,24,0.0
CBS,1,empty-16-16,2,1.0
CBS,1,empty-16-16,4,1.0
CBS,1,empty-16-16,6,1.0
CBS,1,empty-16-16,8,1.0
CBS,1,empty-16-16,10,1.0
CBS,1,empty-16-16,12,1.0
CBS,1,empty-16-16,14,1.0
CBS,1,empty-16-16,16,0.9
CBS,1,empty-16-16,18,0.85
CBS,1,empty-16-16,20,0.8
CBS,1,empty-16-16,22,0.7
CBS,1,empty-16-16,24,0.55
CBS,1,empty-16-16,26,0.5
CBS,1,empty-16-16,28,0.35
CBS,1,empty-16-16,30,0.2
CBS,1,empty-16-16,32,0.2
CBS,1,empty-16-16,34,0.1
CBS,1,empty-16-16,36,0.05
CBS,1,empty-16-16,38,0.0
CBS,1,empty-32-32,2,1.0
CBS,1,empty-32-32,4,1.0
CBS,1,empty-32-32,6,1.0
CBS,1,empty-32-32,8,1.0
CBS,1,empty-32-32,10,1.0
CBS,1,empty-32-32,12,0.95
CBS,1,empty-32-32,14,0.95
CBS,1,empty-32-32,16,0.95
CBS,1,empty-32-32,18,0.9
CBS,1,empty-32-32,20,0.9
CBS,1,empty-32-32,22,0.85
CBS,1,empty-32-32,24,0.8
CBS,1,empty-32-32,26,0.8
CBS,1,empty-32-32,28,0.75
CBS,1,empty-32-32,30,0.7
CBS,1,empty-32-32,32,0.7
CBS,1,empty-32-32,34,0.65
CBS,1,empty-32-32,36,0.6
CBS,1,empty-32-32,38,0.6
CBS,1,empty-32-32,40,0.6
CBS,1,empty-32-32,42,0.6
CBS,1,empty-32-32,44,0.55
CBS,1,empty-32-32,46,0.35
CBS,1,empty-32-32,48,0.25
CBS,1,empty-32-32,50,0.2
CBS,1,empty-32-32,52,0.15
CBS,1,empty-32-32,54,0.15
CBS,1,empty-32-32,56,0.1
CBS,1,empty-32-32,58,0.1
CBS,1,empty-32-32,60,0.0
CBS,1,empty-48-48,2,1.0
CBS,1,empty-48-48,4,1.0
CBS,1,empty-48-48,6,1.0
CBS,1,empty-48-48,8,1.0
CBS,1,empty-48-48,10,1.0
CBS,1,empty-48-48,12,1.0
CBS,1,empty-48-48,14,1.0
CBS,1,empty-48-48,16,1.0
CBS,1,empty-48-48,18,1.0
CBS,1,empty-48-48,20,1.0
CBS,1,empty-48-48,22,1.0
CBS,1,empty-48-48,24,0.9
