Algorithm,Resolution,Map,Agents,Total Time,Number Solved Scenarios,Average Time
CBS,1,empty-8-8,2,0.0,20,0.0
CBS,1,empty-8-8,4,0.0,20,0.0
CBS,1,empty-8-8,6,0.001367,20,6.835e-05
CBS,1,empty-8-8,8,0.014916,20,0.0007458
CBS,1,empty-8-8,10,0.16026100000000001,20,0.00801305
CBS,1,empty-8-8,12,1.374477,20,0.06872385
CBS,1,empty-8-8,14,45.323036,20,2.2661518000000003
CBS,1,empty-8-8,16,24.000635,17,1.4118020588235294
CBS,1,empty-8-8,18,111.804798,16,6.987799875
CBS,1,empty-8-8,20,102.239975,9,11.359997222222223
CBS,1,empty-8-8,22,70.773,2,35.3865
CBS,1,empty-16-16,2,0.011722,20,0.0005861
CBS,1,empty-16-16,4,0.020236999999999998,20,0.00101185
CBS,1,empty-16-16,6,0.07149900000000001,20,0.0035749500000000003
CBS,1,empty-16-16,8,0.11845,20,0.0059225
CBS,1,empty-16-16,10,0.17624,20,0.008812
CBS,1,empty-16-16,12,0.372744,20,0.0186372
CBS,1,empty-16-16,14,0.8569530000000001,20,0.04284765
CBS,1,empty-16-16,16,4.908521,18,0.2726956111111111
CBS,1,empty-16-16,18,12.724366999999997,17,0.7484921764705881
CBS,1,empty-16-16,20,71.22661,16,4.451663125
CBS,1,empty-16-16,22,56.96676200000001,14,4.069054428571429
CBS,1,empty-16-16,24,37.487618000000005,11,3.407965272727273
CBS,1,empty-16-16,26,60.890147,10,6.0890147
CBS,1,empty-16-16,28,56.223991999999996,7,8.031998857142856
CBS,1,empty-16-16,30,19.051758,4,4.7629395
CBS,1,empty-16-16,32,11.907430000000002,4,2.9768575000000004
CBS,1,empty-16-16,34,4.97575,2,2.487875
CBS,1,empty-16-16,36,8.26993,1,8.26993
CBS,1,empty-32-32,2,0.0,20,0.0
CBS,1,empty-32-32,4,0.039973999999999996,20,0.0019987
CBS,1,empty-32-32,6,0.010068,20,0.0005034
CBS,1,empty-32-32,8,0.080007,20,0.00400035
CBS,1,empty-32-32,10,0.14996199999999998,20,0.007498099999999999
CBS,1,empty-32-32,12,0.49982,19,0.026306315789473685
CBS,1,empty-32-32,14,0.789695,19,0.041562894736842104
CBS,1,empty-32-32,16,1.5298730000000003,19,0.08051963157894738
CBS,1,empty-32-32,18,2.859815,18,0.15887861111111112
CBS,1,empty-32-32,20,4.379671,18,0.24331505555555555
CBS,1,empty-32-32,22,13.119882,17,0.7717577647058824
CBS,1,empty-32-32,24,10.179944999999998,16,0.6362465624999999
CBS,1,empty-32-32,26,36.381932,16,2.27387075
CBS,1,empty-32-32,28,59.795518,15,3.986367866666667
CBS,1,empty-32-32,30,76.884044,14,5.4917174285714285
CBS,1,empty-32-32,32,126.08707100000001,14,9.006219357142857
CBS,1,empty-32-32,34,80.309114,13,6.177624153846153
CBS,1,empty-32-32,36,53.976920000000014,12,4.498076666666668
CBS,1,empty-32-32,38,88.73951000000001,12,7.394959166666667
CBS,1,empty-32-32,40,132.09885,12,11.0082375
CBS,1,empty-32-32,42,169.94428,12,14.162023333333332
CBS,1,empty-32-32,44,201.39564000000001,11,18.308694545454546
CBS,1,empty-32-32,46,149.59098,7,21.37014
CBS,1,empty-32-32,48,146.75,5,29.35
CBS,1,empty-32-32,50,101.93969999999999,4,25.484924999999997
CBS,1,empty-32-32,52,82.4837,3,27.494566666666667
